GTIN 12,GTIN 13,MPN,MODEL,ASIN,TITLE,CATEGORY,MANUFACTURER,BRAND,CONTRIBUTORS,INGREDIENTS,NUTRITION FACTS,COLOR,FORMAT,SIZE,LENGTH,WIDTH,HEIGHT,WEIGHT,DESCRIPTION,FEATURES,IMAGE 1,IMAGE 2,IMAGE 3,IMAGE 4,IMAGE 5,STORE NAME 1,STORE COUNTRY 1,STORE CURRENCY 1,STORE CURRENCY SYMBOL 1,STORE PRICE 1,STORE LINK 1,STORE NAME 2,STORE COUNTRY 2,STORE CURRENCY 2,STORE CURRENCY SYMBOL 2,STORE PRICE 2,STORE LINK 2,STORE NAME 3,STORE COUNTRY 3,STORE CURRENCY 3,STORE CURRENCY SYMBOL 3,STORE PRICE 3,STORE LINK 3,STORE NAME 4,STORE COUNTRY 4,STORE CURRENCY 4,STORE CURRENCY SYMBOL 4,STORE PRICE 4,STORE LINK 4,STORE NAME 5,STORE COUNTRY 5,STORE CURRENCY 5,STORE CURRENCY SYMBOL 5,STORE PRICE 5,STORE LINK 5
037014000207,0037014000207,EES002,,,"Endangered Species Chocolate Bar Owl, 3 OZ","Food, Beverages & Tobacco > Food Items > Candy & Chocolate","Endangered Species Chocolate","Endangered Species Chocolate",,"Bittersweet Chocolate (chocolate Liquor, Cane Sugar, Cocoa Butter, Soy Lecithin, Vanilla), Almonds, Sea Salt.","Energy 581 kcal, Protein 9.30 g, Total lipid (fat) 41.86 g, Carbohydrate, by difference 46.51 g, Fiber, total dietary 11.6 g, Sugars, total 25.58 g, Calcium, Ca 93 mg, Iron, Fe 3.89 mg, Sodium, Na 291 mg, Vitamin C, total ascorbic acid 0.0 mg, Vitamin A, IU 0 IU, Fatty acids, total saturated 23.260 g, Fatty acids, total trans 0.000 g, Cholesterol 0 mg",,,"3 oz Bars",,,,0.19,"Endangered Species Chocolate Bar Owl, Dark Chocolate With Sea Salt And Almonds Is A Delicious Dark Chocolate Bar With The Unique Flavor Combination Of Chocolate, Sea Salt And Almonds. This Chocolate Bar Is Gluten-free, Kosher And Non-gmo, And Contains Information On The Animal It Is Sponsoring. Each Bar Contains 3 Oz. Of Flavored Chocolate. Indulge In A Cause. See Nutrition Facts Panel For Allergens.",,https://images.barcodelookup.com/1032/10324148-1.jpg,,,,,LuckyVitamin.com,US,USD,$,2.94,https://www.luckyvitamin.com/p-547409-endangered-species-dark-chocolate-bar-72-cocoa-almonds-sea-salt-3-oz?site=google_base,Target,US,USD,$,2.99,https://www.target.com/p/endangered-species-chocolate-dark-chocolate-with-sea-salt-almonds-3oz/-/A-17099531&intsrc=CATF_1444,CVS,US,USD,$,3.29,https://www.cvs.com/shop/endangered-species-chocolate-dark-chocolate-with-sea-salt-almonds-3-oz-prodid-632953?skuid=632953&WT.mc_id=ps_google_pla_632953,zulily,US,USD,$,2.99,https://www.zulily.com/p/-52690403.html,Vitacost.com,US,USD,$,2.89,http://clickserve.dartsearch.net/link/click?lid=43700049338235428&ds_s_kwgid=58700005420260494&ds_url_v=2&ds_dest_
037014000498,0037014000498,EES005,,B01EPRHTX4,"Endangered Species Chocolate Bar Eagle, 3 OZ","Food, Beverages & Tobacco > Food Items > Candy & Chocolate","Endangered Species Chocolate","Endangered Species Chocolate",,"Bittersweet Chocolate (chocolate Liquor, Sugar, Cocoa Butter, Soy Lecithin, Vanilla), Organic Caramel (organic Tapioca Syrup, Organic Cane Sugar, Organic Nonfat Milk, Organic Heavy Cream, Organic Butter [cream, Salt], Salt, Sodium Citrate, Carrageenan, Organic Vanilla Extract, Organic Soy Lecithin, Vitamin E [mixed Tocopherols] Added To Preserve Freshness), Himalayan Salt.","Energy 535 kcal, Protein 4.65 g, Total lipid (fat) 32.56 g, Carbohydrate, by difference 55.81 g, Fiber, total dietary 7.0 g, Sugars, total 41.86 g, Calcium, Ca 47 mg, Iron, Fe 2.92 mg, Sodium, Na 174 mg, Vitamin C, total ascorbic acid 0.0 mg, Vitamin A, IU 0 IU, Fatty acids, total saturated 20.930 g, Fatty acids, total trans 0.000 g, Cholesterol 0 mg",brown,,"1 Bars",5.8,2.9,0.4,0.21,"Endangered Species Chocolate Bar Eagle, Dark Chocolate With Caramel And Sea Salt Is A Delicious Dark Chocolate Bar With The Unique Flavor Combination Of Caramel And Sea Salt. This Chocolate Bar Is Gluten-free, Kosher And Non-gmo, And Contains Information On The Animal It Is Sponsoring. Each Bar Contains 3 Oz. Of Flavored Chocolate. Indulge In A Cause. See Nutrition Facts Panel For Allergens.","- Endangered Species Chocolate   - Endangered Species Chocolate Dark Chocolate with Caramel & Sea Salt 60% Cocoa 1 Bar(S)   - Gluten Free, Non-GMO   ",https://images.barcodelookup.com/1034/10340005-1.jpg,,,,,LuckyVitamin.com,US,USD,$,3.24,https://www.luckyvitamin.com/p-1897366-endangered-species-dark-chocolate-bar-60-cocoa-sea-salt-caramel-3-oz?site=google_base,Target,US,USD,$,2.99,https://www.target.com/p/endangered-species-chocolate-dark-chocolate-sea-salt-caramel-3oz/-/A-50322135&intsrc=CATF_1444,zulily,US,USD,$,3.49,https://www.zulily.com/p/-52690405.html,Vitacost.com,US,USD,$,2.69,http://clickserve.dartsearch.net/link/click?lid=43700049338235428&ds_s_kwgid=58700005420260494&ds_url_v=2&ds_dest_,"Swanson Health Products",US,USD,$,3.25,https://www.swansonvitamins.com/endangered-species-chocolate-dark-chocolate-caramel-sea-salt-60-cocoa-1-bar-s
037014242232,0037014242232,Tiger_037014242232,,,"(4 Pack) Endangered Species Chocolate Bar, Dark Chocolate Espresso Beans, 3 Oz","Food, Beverages & Tobacco > Food Items > Candy & Chocolate","Endangered Species Chocolate","Endangered Species",,"Bittersweet Chocolate (chocolate Liquor, Cane Sugar, Cocoa Butter, Soy Lecithin, Vanilla), Roasted Coffee.","Energy 488 kcal, Protein 6.98 g, Total lipid (fat) 39.53 g, Carbohydrate, by difference 48.84 g, Fiber, total dietary 11.6 g, Sugars, total 27.91 g, Calcium, Ca 47 mg, Iron, Fe 4.87 mg, Sodium, Na 0 mg, Vitamin C, total ascorbic acid 0.0 mg, Vitamin A, IU 0 IU, Fatty acids, total saturated 23.260 g, Fatty acids, total trans 0.000 g, Cholesterol 0 mg",,,,,,,0.2,"Dark Chocolate with Espresso Beans 72% Cocoa ContentEthical TradeWe buy our cacao from small family-owned properties, helping sustain the habitats and communities in which they exist. Free Of Gluten. Disclaimer These statements have not been evaluated by the FDA. These products are not intended to diagnose, treat, cure, or prevent any disease.",,https://images.barcodelookup.com/1032/10324152-1.jpg,,,,,LuckyVitamin.com,US,USD,$,3.14,https://www.luckyvitamin.com/p-547417-endangered-species-dark-chocolate-bar-72-cocoa-espresso-beans-3-oz?site=google_base,zulily,US,USD,$,3.49,https://www.zulily.com/p/-52690419.html,Vitacost.com,US,USD,$,2.69,http://clickserve.dartsearch.net/link/click?lid=43700049338235428&ds_s_kwgid=58700005420260494&ds_url_v=2&ds_dest_,Walmart,US,USD,$,15.05,https://www.walmart.com/ip/4-Pack-Endangered-Species-Chocolate-Bar-Dark-Chocolate-Espresso-Beans-3-Oz/698504943&intsrc=CATF_4284,UnbeatableSale.com,US,USD,$,41.29,http://www.boncui.com/bngla6089.html
037014242263,0037014242263,EES003,,,"(12 Pack) Endangered Species Chocolate Bar Rainforest, 3 Oz","Food, Beverages & Tobacco > Food Items > Candy & Chocolate","Endangered Species Chocolate","Endangered Species Chocolate",,"Bittersweet Chocolate(chocolate Liquor, Cane Sugar, Cocoa Butter, Soy Lecithin, Vanilla ), Natural Mint Flavor.","Energy 488 kcal, Protein 6.98 g, Total lipid (fat) 41.86 g, Carbohydrate, by difference 48.84 g, Fiber, total dietary 11.6 g, Sugars, total 27.91 g, Calcium, Ca 47 mg, Iron, Fe 4.87 mg, Sodium, Na 0 mg, Vitamin C, total ascorbic acid 0.0 mg, Vitamin A, IU 0 IU, Fatty acids, total saturated 23.260 g, Fatty acids, total trans 0.000 g, Cholesterol 0 mg",,,"1 Bars",,,,0.21,"Endangered Species Chocolate Bar Rainforest, Dark Chocolate With Forest Mint Is A Delicious Dark Chocolate Bar With The Unique Flavor Combination Of Chocolate And Forest Mint. This Chocolate Bar Is Gluten-free, Kosher And Non-gmo, And Contains Information On The Animal It Is Sponsoring. Each Bar Contains 3 Oz. Of Flavored Chocolate. Indulge In A Cause. See Nutrition Facts Panel For Allergens.",,https://images.barcodelookup.com/1035/10352293-1.jpg,,,,,LuckyVitamin.com,US,USD,$,3.34,https://www.luckyvitamin.com/p-27470-endangered-species-dark-chocolate-bar-72-cocoa-forest-mint-3-oz?site=google_base,zulily,US,USD,$,3.49,https://www.zulily.com/p/-52690407.html,Vitacost.com,US,USD,$,2.74,http://clickserve.dartsearch.net/link/click?lid=43700049338235428&ds_s_kwgid=58700005420260494&ds_url_v=2&ds_dest_,"Swanson Health Products",US,USD,$,3.00,https://www.swansonvitamins.com/endangered-species-chocolate-dark-chocolate-forest-mint-72-cocoa-1-bar-s,"Swanson Health",US,USD,$,3.00,https://www.swansonvitamins.com/endangered-species-chocolate-dark-chocolate-forest-mint-72-cocoa-1-bar-s
037014242287,0037014242287,881404,,,"Endangered Species Chocolate Bar Grizzly, 3 OZ","Food, Beverages & Tobacco > Food Items > Candy & Chocolate","Endangered Species","Endangered Species",,"Bittersweet Chocolate (chocolate Liquor, Sugar, Cocoa Butter, Soy Lecithin, Vanilla), Dried Raspberries, Coconut Oil.","Protein 7.14 G, Total lipid (fat) 39.29 G, Carbohydrate, by difference 53.57 G, Energy 571 KCAL, Sugars, total including NLEA 28.57 G, Fiber, total dietary 14.3 G, Calcium, Ca 0 MG, Iron, Fe 4.29 MG, Potassium, K 750 MG, Sodium, Na 0 MG, Vitamin D (D2 + D3), International Units 0 IU, Sugars, added 28.6 G, Cholesterol 0 MG, Fatty acids, total trans 0 G, Fatty acids, total saturated 25 G",,,All,,,,0.21,"Endangered Species Chocolate Bar Grizzly, Dark Chocolate With Raspberries Is A Delicious Dark Chocolate Bar With The Unique Flavor Combination Of Chocolate And Raspberries. This Chocolate Bar Is Gluten-free, Kosher And Non-gmo, And Contains Information On The Animal It Is Sponsoring. Each Bar Contains 3 Oz. Of Flavored Chocolate. Indulge In A Cause. See Nutrition Facts Panel For Allergens.",,https://images.barcodelookup.com/2657/26570226-1.jpg,,,,,Vitacost.com,US,USD,$,2.99,http://clickserve.dartsearch.net/link/click?lid=43700049338235428&ds_s_kwgid=58700005420260494&ds_url_v=2&ds_dest_,Walmart,US,USD,$,2.83,https://www.walmart.com/ip/Endangered-Species-Chocolate-Bar-Grizzly-3-OZ/33306985&intsrc=CATF_4284,UnbeatableSale.com,US,USD,$,41.29,http://www.boncui.com/bngla6088.html,Rakuten.com,US,USD,$,40.81,https://www.rakuten.com/shop/unbeatablesale/product/BNGLA6088/?sku=BNGLA6088&scid=af_feed,Staples,US,USD,$,49.49,https://www.staples.com/Endangered-Species-Chocolate-Dark-Red-Raspberry-Grizzly-3-Oz-12-Pack/product_1057402?cid=BNR:1057402&ci_src=17588969&ci_sku=1057402&KPID=1057402
037014242300,0037014242300,Wolf_037014242300,,,"(12 Pack) Endangered Species Chocolate Bar Wolf, 3 Oz","Food, Beverages & Tobacco > Food Items > Candy & Chocolate","Endangered Species Chocolate","Endangered Species",,"Bittersweet Chocolate (chocolate Liquor, Sugar, Cocoa Butter, Soy Lecithin, Vanilla), Almonds, Dried Cranberries, Sugar, Cellulose Gum, Sunflower Oil.","Protein 7.14 G, Total lipid (fat) 39.29 G, Carbohydrate, by difference 50 G, Energy 571 KCAL, Sugars, total including NLEA 28.57 G, Fiber, total dietary 10.7 G, Calcium, Ca 0 MG, Iron, Fe 4.29 MG, Potassium, K 714 MG, Sodium, Na 0 MG, Vitamin D (D2 + D3), International Units 0 IU, Sugars, added 25 G, Cholesterol 0 MG, Fatty acids, total trans 0 G, Fatty acids, total saturated 21.43 G",,,,,,,0.2,"Endangered Species Chocolate Bar Wolf, Dark Chocolate With Cranberries And Almonds Is A Delicious Dark Chocolate Bar With The Unique Flavor Combination Of Cranberries And Almonds. This Chocolate Bar Is Gluten-free, Kosher And Non-gmo, And Contains Information On The Animal It Is Sponsoring. Each Bar Contains 3 Oz. Of Flavored Chocolate. Indulge In A Cause. See Nutrition Facts Panel For Allergens.",,https://images.barcodelookup.com/1035/10352291-1.jpg,,,,,LuckyVitamin.com,US,USD,$,3.08,https://www.luckyvitamin.com/p-32619-endangered-species-dark-chocolate-bar-72-cocoa-cranberries-almonds-3-oz?site=google_base,Target,US,USD,$,2.99,https://www.target.com/p/endangered-species-chocolate-natural-dark-chocolate-with-cranberries-and-almonds-3oz/-/A-47967222,CVS,US,USD,$,3.29,https://www.cvs.com/shop/endangered-species-chocolate-natural-dark-chocolate-with-cranverries-almonds-prodid-519849?skuid=519849&WT.mc_id=ps_google_pla_519849,"Thrive Market",US,USD,$,2.69,https://thrivemarket.com/p/endangered-species-fair-trade-dark-chocolate-with-cranberries-almonds-72-cocoa,Vitacost.com,US,USD,$,2.69,http://clickserve.dartsearch.net/link/click?lid=43700049338235428&ds_s_kwgid=58700005420260494&ds_url_v=2&ds_dest_
037014242317,0037014242317,ENDANGEREDSP_OTTER_0370142_One-Size,,,"Endangered Species Chocolate Bar Otter, 3 Oz","Food, Beverages & Tobacco > Food Items > Candy & Chocolate","Endangered Species Chocolate","Endangered Species",,"Milk Chocolate (chocolate Liquor, Milk, Sugar, Cocoa Butter, Lactose, Soy Lecithin, Vanilla).","Protein 10.71 G, Total lipid (fat) 39.29 G, Carbohydrate, by difference 46.43 G, Energy 607 KCAL, Sugars, total including NLEA 35.71 G, Fiber, total dietary 7.1 G, Calcium, Ca 286 MG, Iron, Fe 2.14 MG, Potassium, K 679 MG, Sodium, Na 107 MG, Vitamin D (D2 + D3), International Units 0 IU, Sugars, added 25 G, Cholesterol 18 MG, Fatty acids, total trans 0 G, Fatty acids, total saturated 25 G",,,,,,,0.21,"Endangered Species Chocolate Bar Otter, Milk Chocolate 48% Cocoa Is A Delicious Milk Chocolate Bar With 48% Cocoa. This Chocolate Bar Is Gluten-free, Kosher And Non-gmo, And Contains Information On The Animal It Is Sponsoring. Each Bar Contains 3 Oz. Of Creamy Chocolate. Indulge In A Cause. See Nutrition Facts Panel For Allergens.",,https://images.barcodelookup.com/1035/10352289-1.jpg,,,,,Walmart,US,USD,$,2.83,https://www.walmart.com/ip/Endangered-Species-Chocolate-Bar-Otter-3-Oz/33332843&intsrc=CATF_4284,LuckyVitamin.com,US,USD,$,2.99,https://www.luckyvitamin.com/p-27541-endangered-species-milk-chocolate-bar-48-cocoa-smooth-creamy-3-oz?site=google_base,zulily,US,USD,$,3.89,https://www.zulily.com/p/-52690421.html,Vitacost.com,US,USD,$,2.99,http://clickserve.dartsearch.net/link/click?lid=43700049338235428&ds_s_kwgid=58700005420260494&ds_url_v=2&ds_dest_,UnbeatableSale.com,US,USD,$,41.29,http://www.boncui.com/bngla6260.html
037014242379,0037014242379,ENDANGEREDSP_CHIMP_0370142_One-Size,,,"(12 Pack) Endangered Species Chocolate Bar Chimpanzee, 3 Oz","Food, Beverages & Tobacco > Food Items > Candy & Chocolate","Endangered Species Chocolate","Endangered Species",,"Bittersweet Chocolate (chocolate Liquor, Cane Sugar, Cocoa Butter, Soy Lecithin, Vanilla).","Energy 488 kcal, Protein 6.98 g, Total lipid (fat) 41.86 g, Carbohydrate, by difference 48.84 g, Fiber, total dietary 11.6 g, Sugars, total 27.91 g, Calcium, Ca 47 mg, Iron, Fe 4.87 mg, Sodium, Na 0 mg, Vitamin C, total ascorbic acid 0.0 mg, Vitamin A, IU 0 IU, Fatty acids, total saturated 25.580 g, Fatty acids, total trans 0.000 g, Cholesterol 0 mg",,,,,,,0.21,"Endangered Species Chocolate Bar Chimpanzee, Dark Chocolate 72% Cocoa Is A Delicious Dark Chocolate Bar With 72% Cocoa. This Chocolate Bar Is Gluten-free, Kosher And Non-gmo, And Contains Information On The Animal It Is Sponsoring. Each Bar Contains 3 Oz. Of Flavored Chocolate. Indulge In A Cause. See Nutrition Facts Panel For Allergens.",,https://images.barcodelookup.com/1035/10352290-1.jpg,,,,,LuckyVitamin.com,US,USD,$,3.64,https://www.luckyvitamin.com/p-32616-endangered-species-dark-chocolate-bar-72-cocoa-bold-silky-3-oz?site=google_base,zulily,US,USD,$,3.49,https://www.zulily.com/p/-52690415.html,Vitacost.com,US,USD,$,2.69,http://clickserve.dartsearch.net/link/click?lid=43700049338235428&ds_s_kwgid=58700005420260494&ds_url_v=2&ds_dest_,"Thrive Market",US,USD,$,16.74,https://thrivemarket.com/p/endangered-species-fair-trade-dark-chocolate-72-cocoa,Walmart,US,USD,$,31.35,https://www.walmart.com/ip/12-Pack-Endangered-Species-Chocolate-Bar-Chimpanzee-3-Oz/910596437&intsrc=CATF_4284
037014242478,0037014242478,EES001,,,"Endangered Species Chocolate Bar Black Panther, 3 OZ","Food, Beverages & Tobacco > Food Items > Candy & Chocolate","Endangered Species Chocolate","Endangered Species Chocolate",,"Bittersweet Chocolate (chocolate Liquor, Cane Sugar, Soy Lecithin. Vanilla).","Energy 488 kcal, Protein 9.30 g, Total lipid (fat) 46.51 g, Carbohydrate, by difference 39.53 g, Fiber, total dietary 14.0 g, Sugars, total 11.63 g, Calcium, Ca 93 mg, Iron, Fe 7.30 mg, Sodium, Na 0 mg, Vitamin C, total ascorbic acid 0.0 mg, Vitamin A, IU 0 IU, Fatty acids, total saturated 25.580 g, Fatty acids, total trans 0.000 g, Cholesterol 0 mg",brown,,"3 oz Bars",,,,0.19,"Endangered Species Chocolate Bar, Black Panther Dark Chocolate With 88% Cocoa Is A Delicious Dark Chocolate Bar With 88% Cocoa. This Chocolate Bar Is Gluten-free, Kosher And Non-gmo, And Contains Information On The Animal It Is Sponsoring. Each Bar Contains 3 Oz. Of Flavored Chocolate. Indulge In A Cause. See Nutrition Facts Panel For Allergens.",,https://images.barcodelookup.com/1035/10352296-1.jpg,,,,,LuckyVitamin.com,US,USD,$,3.56,https://www.luckyvitamin.com/p-27072-endangered-species-dark-chocolate-bar-88-cocoa-strong-velvety-3-oz?site=google_base,Target,US,USD,$,2.99,https://www.target.com/p/endangered-species-chocolate-natural-dark-chocolate-3oz/-/A-17099532&intsrc=CATF_1444,CVS,US,USD,$,3.29,https://www.cvs.com/shop/endangered-species-chocolate-natural-dark-chocolate-with-88-cocoa-prodid-527315?skuid=527315&WT.mc_id=ps_google_pla_527315,Vitacost.com,US,USD,$,2.69,http://clickserve.dartsearch.net/link/click?lid=43700049338235428&ds_s_kwgid=58700005420260494&ds_url_v=2&ds_dest_,Walmart,US,USD,$,2.83,https://www.walmart.com/ip/Endangered-Species-Chocolate-Bar-Black-Panther-3-OZ/26381081&intsrc=CATF_4284
047495210002,0047495210002,17078505,,,"Nature'S Bakery Stone Ground Whole Wheat Fig Bar - Apple Cinnamon , 6/2 Oz","Food, Beverages & Tobacco > Food Items > Bakery > Cakes & Dessert Bars","Nature's Bakery","Nature's Bakery",,"Whole Wheat Flour, Cane Sugar, Fig Paste, Brown Rice Syrup, Apple Jam (organic Cane Sugar, Naturally Milled Sugar, Organic Rice Starch, Apple Powder, Evaporated Apples, Glycerin, Natural Flavor, Pectin, Citric Acid, Cinnamon, Locust Bean Gum), Canola Oil, Whole Grain Oats, Glycerin, Fruit Juice (for Color), Sea Salt, Natural Flavor, Citric Acid, Baking Soda.","Protein 3.57 G, Total lipid (fat) 8.93 G, Carbohydrate, by difference 67.86 G, Energy 357 KCAL, Sugars, total including NLEA 35.71 G, Fiber, total dietary 7.1 G, Calcium, Ca 0 MG, Iron, Fe 1.29 MG, Sodium, Na 143 MG, Vitamin A, IU 0 IU, Vitamin C, total ascorbic acid 0 MG, Cholesterol 0 MG, Fatty acids, total trans 0 G, Fatty acids, total saturated 0 G",,,All,,,,0.86,"Nature's Bakery Stone Ground Whole Wheat Apple Cinnamon Fig Bars Gives You The Quality Fuel Required By Bodies. Our Apple Cinnamon Fig Bar Is A Crowd Favorite, No Matter Whos In The Crowd. Our Bar Does The Trick For Both Rather Nicely With A Balance Of Whole Grains, Sweet Raspberries, Power-packed Figs And Other Wholesome Ingredients. Our Bars Are Conveniently Packaged For The On-the-go Individual. There's No Artificial Flavors Or Colors And They're Free Of Soy And Dairy. Our Bars Cholesterol Free And Free Of Trans Fat. They Have Ingredients That Are Kosher And Non-gmo Project Verified. See Nutrition Facts Panel For Allergens. Includes One Box With 6 Twin-packs Of Stone Ground Whole Wheat Apple Cinnamon Fig Bars. Natures Bakery Has The Mission Of Making Delicious Convenient On-the-go Snacks And Foods That Compliment Health Conscious Living And Everyday Active Lifestyles.",,https://images.barcodelookup.com/2665/26652589-1.jpg,,,,,Target,US,USD,$,2.99,https://www.target.com/p/nature-39-s-bakery-apple-cinnamon-fig-bar-6ct/-/A-17078505&intsrc=CATF_1444,Vitacost.com,US,USD,$,3.79,http://clickserve.dartsearch.net/link/click?lid=43700049338235428&ds_s_kwgid=58700005420260494&ds_url_v=2&ds_dest_,Walmart,US,USD,$,11.99,https://www.walmart.com/ip/Nature-S-Bakery-Stone-Ground-Whole-Wheat-Fig-Bar-Apple-Cinnamon-6-2-Oz/45612401&intsrc=CATF_4284,UnbeatableSale.com,US,USD,$,27.97,http://www.gourmet-foodshop.com/kehe8112.html,GoVets,US,USD,$,32.38,https://www.govets.com/food-and-beverage/chips-and-snacks/nature-s-bakery-food-and-beverage-chips-and-snacks-047495210002-270-2135945
